"Lab","days_since_positive","France-01","France-02","Germany-02","Germany-01","Germany-03","Italy-01","Italy-03","Italy-02","USA-03","USA-08","USA-11","USA-01","USA-04","USA-07","USA-06","USA-02","USA-10","USA-05","USA-09","USA-12","France","Germany","Italy","US"
"alanine aminotransferase (ALT)","n_max",142,637,64,6,30,13,445,927,105,349,0,258,38,44,57,0,46,40,5,9,779,100,1385,951
"alanine aminotransferase (ALT)","0",0.126760563380282,0.189952904238619,0.734375,NA,0.633333333333333,NA,0.155056179775281,0.741100323624595,0.895238095238095,0.114613180515759,NA,NA,NA,0.454545454545455,NA,NA,1,0.95,NA,NA,0.178433889602054,0.66,0.545848375451264,0.250262881177708
"alanine aminotransferase (ALT)","1",1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,0.630434782608696,0.95,NA,NA,1,0.94,0.990613718411552,0.965299684542587
"alanine aminotransferase (ALT)","2",0.359154929577465,0.381475667189953,0.671875,NA,0.966666666666667,NA,0.503370786516854,0.591154261057174,0.942857142857143,0.67621776504298,NA,0.589147286821705,0.684210526315789,NA,0.736842105263158,NA,0.5,0.8,NA,NA,0.377406931964057,0.72,0.557400722021661,0.64143007360673
"alanine aminotransferase (ALT)","3",0.436619718309859,0.312401883830455,0.515625,NA,0.766666666666667,NA,0.604494382022472,0.531823085221144,0.723809523809524,0.564469914040115,NA,0.534883720930233,0.605263157894737,NA,0.754385964912281,NA,0.369565217391304,0.725,NA,NA,0.335044929396662,0.56,0.550180505415163,0.549947423764458
"alanine aminotransferase (ALT)","4",0.288732394366197,0.255886970172684,0.4375,NA,0.6,NA,0.444943820224719,0.462783171521036,0.580952380952381,0.504297994269341,NA,0.496124031007752,0.447368421052632,NA,0.719298245614035,NA,0.326086956521739,0.675,NA,NA,0.261874197689345,0.46,0.452707581227437,0.488958990536278
"alanine aminotransferase (ALT)","5",0.28169014084507,0.208791208791209,0.34375,NA,0.6,NA,0.442696629213483,0.433656957928803,0.419047619047619,0.441260744985673,NA,0.383720930232558,0.368421052631579,NA,0.578947368421053,NA,0.326086956521739,0.575,NA,NA,0.222079589216945,0.4,0.432490974729242,0.401682439537329
"alanine aminotransferase (ALT)","6",0.190140845070423,0.237048665620094,0.359375,NA,0.366666666666667,NA,0.406741573033708,0.439050701186624,0.39047619047619,0.401146131805158,NA,0.341085271317829,0.342105263157895,NA,0.631578947368421,NA,NA,0.6,NA,NA,0.228498074454429,0.34,0.424548736462094,0.359621451104101
"alanine aminotransferase (ALT)","7",0.183098591549296,0.19309262166405,0.28125,NA,0.433333333333333,NA,0.343820224719101,0.411003236245955,0.266666666666667,0.303724928366762,NA,0.267441860465116,0.263157894736842,NA,0.508771929824561,NA,NA,0.4,NA,NA,0.191270860077022,0.31,0.385559566787004,0.271293375394322
"alanine aminotransferase (ALT)","8",0.161971830985915,0.158555729984301,0.234375,NA,0.333333333333333,NA,0.307865168539326,0.343042071197411,0.238095238095238,0.234957020057307,NA,0.228682170542636,NA,NA,0.403508771929825,NA,NA,0.5,NA,NA,0.159178433889602,0.25,0.328519855595668,0.219768664563617
"alanine aminotransferase (ALT)","9",0.133802816901408,0.125588697017268,0.171875,NA,0.266666666666667,NA,0.321348314606742,0.330097087378641,0.19047619047619,0.174785100286533,NA,0.166666666666667,NA,NA,0.350877192982456,NA,NA,0.45,NA,NA,0.127086007702182,0.19,0.324187725631769,0.170347003154574
"alanine aminotransferase (ALT)","10",0.0985915492957746,0.106750392464678,0.15625,NA,0.2,NA,0.287640449438202,0.305285868392665,0.180952380952381,0.137535816618911,NA,0.143410852713178,NA,NA,0.333333333333333,NA,NA,0.4,NA,NA,0.105263157894737,0.16,0.296750902527076,0.146161934805468
"alanine aminotransferase (ALT)","11",0.0704225352112676,0.0737833594976452,0.171875,NA,0.333333333333333,NA,0.229213483146067,0.267529665587918,0.0952380952380952,0.100286532951289,NA,0.0930232558139535,NA,NA,0.315789473684211,NA,NA,0.3,NA,NA,0.0731707317073171,0.21,0.252707581227437,0.10410094637224
"alanine aminotransferase (ALT)","12",0.0563380281690141,0.0706436420722135,0.125,NA,0.133333333333333,NA,0.215730337078652,0.264293419633225,NA,0.0802292263610315,NA,0.0542635658914729,NA,NA,0.228070175438596,NA,NA,0.25,NA,NA,0.0680359435173299,0.12,0.246209386281588,0.0683491062039958
"alanine aminotransferase (ALT)","13",0.0211267605633803,0.0565149136577708,0.125,NA,0.133333333333333,NA,0.17752808988764,0.21898597626753,NA,0.0659025787965616,NA,0.0465116279069767,NA,NA,NA,NA,NA,NA,NA,NA,0.0500641848523748,0.12,0.203610108303249,0.0368033648790747
"alanine aminotransferase (ALT)","14",0.0492957746478873,0.0565149136577708,0.046875,NA,0.133333333333333,NA,0.170786516853933,0.223300970873786,NA,0.0343839541547278,NA,0.0426356589147287,NA,NA,NA,NA,NA,NA,NA,NA,0.055198973042362,0.07,0.204332129963899,0.0241850683491062
"alanine aminotransferase (ALT)","15",0.0211267605633803,0.0251177394034537,0.046875,NA,0.133333333333333,NA,0.173033707865169,0.200647249190939,NA,0.0286532951289398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024390243902439,0.07,0.189891696750903,0.010515247108307
"alanine aminotransferase (ALT)","16",0.0140845070422535,0.0266875981161695,0.046875,NA,0.1,NA,0.114606741573034,0.168284789644013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024390243902439,0.06,0.149458483754513,0
"alanine aminotransferase (ALT)","17",0.0140845070422535,0.0141287284144427,0.015625,NA,NA,NA,0.121348314606742,0.158576051779935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0141206675224647,0.01,0.145126353790614,0
"alanine aminotransferase (ALT)","18",0.0140845070422535,0.0172684458398744,0.015625,NA,NA,NA,0.0831460674157303,0.155339805825243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166880616174583,0.01,0.130685920577617,0
"alanine aminotransferase (ALT)","19",0.0140845070422535,0.010989010989011,0.015625,NA,NA,NA,0.0966292134831461,0.137001078748652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115532734274711,0.01,0.122743682310469,0
"alanine aminotransferase (ALT)","20",NA,NA,NA,NA,NA,NA,0.0651685393258427,0.107874865156419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0931407942238267,0
"alanine aminotransferase (ALT)","21",NA,0.00941915227629513,NA,NA,NA,NA,0.0674157303370786,0.0960086299892125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00770218228498074,0,0.0859205776173285,0
"alanine aminotransferase (ALT)","22",NA,0.00784929356357928,NA,NA,NA,NA,0.0561797752808989,0.0830636461704423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00641848523748395,0,0.0736462093862816,0
"alanine aminotransferase (ALT)","23",0.00704225352112676,0.00627943485086342,0.015625,NA,NA,NA,0.0359550561797753,0.0722761596548004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00641848523748395,0.01,0.059927797833935,0
"alanine aminotransferase (ALT)","24",NA,NA,NA,NA,NA,NA,0.0449438202247191,0.0550161812297735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0512635379061372,0
"alanine aminotransferase (ALT)","25",0.00704225352112676,NA,NA,NA,NA,NA,0.0426966292134831,0.04638619201726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00128369704749679,0,0.0447653429602888,0
"albumin","n_max",38,32,15,4,45,1,151,115,72,359,27,0,38,44,27,0,46,40,5,9,70,64,267,667
"albumin","0",0.157894736842105,0.40625,NA,NA,0.6,NA,0.0662251655629139,0.104347826086957,1,0.114206128133705,0.703703703703704,NA,NA,0.454545454545455,NA,NA,1,0.85,NA,NA,0.271428571428571,0.421875,0.0823970037453183,0.347826086956522
"albumin","1",1,1,NA,NA,1,NA,0.317880794701987,0.704347826086957,0.597222222222222,1,0.888888888888889,NA,1,1,0.592592592592593,NA,0.630434782608696,0.925,NA,NA,1,0.703125,0.48314606741573,0.88455772113943
"albumin","2",0.842105263157895,0.65625,NA,NA,0.644444444444444,NA,0.867549668874172,1,0.527777777777778,0.668523676880223,1,NA,0.684210526315789,NA,1,NA,0.478260869565217,0.75,NA,NA,0.757142857142857,0.453125,0.921348314606742,0.614692653673163
"albumin","3",0.710526315789474,0.28125,NA,NA,0.622222222222222,NA,1,0.773913043478261,0.347222222222222,0.568245125348189,0.851851851851852,NA,0.605263157894737,NA,1,NA,0.347826086956522,0.725,NA,NA,0.514285714285714,0.4375,0.898876404494382,0.52023988005997
"albumin","4",0.342105263157895,0.5625,NA,NA,0.644444444444444,NA,0.841059602649007,0.521739130434783,0.263888888888889,0.498607242339833,0.666666666666667,NA,0.447368421052632,NA,0.888888888888889,NA,0.326086956521739,0.675,NA,NA,0.442857142857143,0.453125,0.700374531835206,0.448275862068966
"albumin","5",0.315789473684211,0.4375,NA,NA,0.466666666666667,NA,0.728476821192053,0.460869565217391,0.319444444444444,0.440111420612813,0.518518518518518,NA,0.368421052631579,NA,0.740740740740741,NA,0.326086956521739,0.575,NA,NA,0.371428571428571,0.328125,0.610486891385768,0.400299850074962
"albumin","6",0.289473684210526,0.40625,NA,NA,0.444444444444444,NA,0.71523178807947,0.582608695652174,0.194444444444444,0.389972144846797,0.518518518518518,NA,0.342105263157895,NA,0.777777777777778,NA,NA,0.6,NA,NA,0.342857142857143,0.3125,0.655430711610487,0.338830584707646
