siteid,loinc,days_since_positive,num_patients,mean_value,stdev_val,unmasked_sites_num_patients,masked_sites_num_patients,masked_upper_bound_num_patients
France-01,1742-6,-6,7,17.7142857142857,11.1462143904599,1,0,0
France-01,1742-6,-5,3,32.3333333333333,9.29157324317756,1,0,0
France-01,1742-6,-4,9,22.7777777777778,20.6202435592901,1,0,0
France-01,1742-6,-3,8,32.5,19.3907194296653,1,0,0
France-01,1742-6,-2,9,68.7777777777778,81.8715118001643,1,0,0
France-01,1742-6,-1,13,87.6923076923077,108.162982434985,1,0,0
France-01,1742-6,0,18,93.4444444444444,119.132265705082,1,0,0
France-01,1742-6,1,142,41.3450704225352,45.3068413061862,1,0,0
France-01,1742-6,2,51,107.78431372549,324.007611868949,1,0,0
France-01,1742-6,3,62,63.4032258064516,156.082204032532,1,0,0
France-01,1742-6,4,41,69.3414634146341,157.919538017957,1,0,0
France-01,1742-6,5,40,77.4,133.840854595951,1,0,0
France-01,1742-6,6,27,119.62962962963,317.910866577912,1,0,0
France-01,1742-6,7,26,111.269230769231,271.46735460343,1,0,0
France-01,1742-6,8,23,116.739130434783,222.737353970444,1,0,0
France-01,1742-6,9,19,107.052631578947,163.756415882524,1,0,0
France-01,1742-6,10,14,91.8571428571429,151.537686169713,1,0,0
France-01,1742-6,11,10,101.7,136.013112113012,1,0,0
France-01,1742-6,12,8,105.5,114.002506238115,1,0,0
France-01,1742-6,13,3,123,109.576457325468,1,0,0
France-01,1742-6,14,7,68.7142857142857,97.0733644994243,1,0,0
France-01,1742-6,15,3,93.3333333333333,60.5832760201471,1,0,0
France-01,1742-6,16,2,27,8.48528137423857,1,0,0
France-01,1742-6,17,2,24.5,13.4350288425444,1,0,0
France-01,1742-6,18,2,160,60.8111831820431,1,0,0
France-01,1742-6,19,2,89,7.07106781186548,1,0,0
France-01,1742-6,23,1,163,0,1,0,0
France-01,1742-6,25,1,32,0,1,0,0
France-01,1751-7,-6,4,2.7075,0.569992690011606,1,0,0
France-01,1751-7,-5,1,1.82,0,1,0,0
France-01,1751-7,-4,2,2.14,0.0707106781186603,1,0,0
France-01,1751-7,-3,3,2.50666666666667,0.622923216242046,1,0,0
France-01,1751-7,-2,2,2.65,0.509116882454314,1,0,0
France-01,1751-7,-1,5,2.452,0.669305610315646,1,0,0
France-01,1751-7,0,6,2.76166666666667,0.847051749698132,1,0,0
France-01,1751-7,1,38,3.09236842105263,0.537599440005973,1,0,0
France-01,1751-7,2,32,2.789375,0.513702169895007,1,0,0
France-01,1751-7,3,27,3.01074074074074,0.647349186035611,1,0,0
France-01,1751-7,4,13,2.68153846153846,0.663209948581471,1,0,0
France-01,1751-7,5,12,2.36583333333333,0.606292133806098,1,0,0
France-01,1751-7,6,11,2.46909090909091,0.788764280954133,1,0,0
France-01,1751-7,7,5,2.498,0.592216176746297,1,0,0
France-01,1751-7,8,5,2.814,0.372129009887699,1,0,0
France-01,1751-7,9,8,2.33125,1.00492270491672,1,0,0
France-01,1751-7,10,5,2.464,0.46822003374482,1,0,0
France-01,1751-7,11,2,2.535,0.487903679018717,1,0,0
France-01,1751-7,12,3,2.37,0.819023809177731,1,0,0
France-01,1751-7,13,3,2.63333333333333,0.532572373798466,1,0,0
France-01,1751-7,14,2,2.805,0.190918830920369,1,0,0
France-01,1751-7,16,2,1.455,0.360624458405139,1,0,0
France-01,1751-7,17,1,1.27,0,1,0,0
France-01,1751-7,18,1,3.36,0,1,0,0
France-01,1751-7,25,1,3.84,0,1,0,0
France-01,1920-8,-6,7,43.1428571428571,24.7819058416187,1,0,0
France-01,1920-8,-5,3,47.6666666666667,19.2180470738661,1,0,0
France-01,1920-8,-4,9,45.5555555555556,26.5523591753685,1,0,0
France-01,1920-8,-3,9,49.5555555555556,27.6772068276005,1,0,0
France-01,1920-8,-2,8,116.5,119.78671521858,1,0,0
France-01,1920-8,-1,13,117.769230769231,119.479533704978,1,0,0
