siteid,sex,total_patients,age_0to2,age_3to5,age_6to11,age_12to17,age_18to25,age_26to49,age_50to69,age_70to79,age_80plus,unmasked_sites_total_patients,unmasked_sites_age_0to2,unmasked_sites_age_3to5,unmasked_sites_age_6to11,unmasked_sites_age_12to17,unmasked_sites_age_18to25,unmasked_sites_age_26to49,unmasked_sites_age_50to69,unmasked_sites_age_70to79,unmasked_sites_age_80plus,masked_sites_total_patients,masked_sites_age_0to2,masked_sites_age_3to5,masked_sites_age_6to11,masked_sites_age_12to17,masked_sites_age_18to25,masked_sites_age_26to49,masked_sites_age_50to69,masked_sites_age_70to79,masked_sites_age_80plus,masked_upper_bound_total_patients,masked_upper_bound_age_0to2,masked_upper_bound_age_3to5,masked_upper_bound_age_6to11,masked_upper_bound_age_12to17,masked_upper_bound_age_18to25,masked_upper_bound_age_26to49,masked_upper_bound_age_50to69,masked_upper_bound_age_70to79,masked_upper_bound_age_80plus
France,All,11954,64,7,15,46,636,4127,3968,1381,1707,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Female,6164,24,5,7,25,467,2508,1726,483,919,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Male,5787,39,0,8,21,169,1618,2242,898,788,2,2,1,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
France,Other,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
Germany,All,671,7,4,8,13,56,255,207,57,64,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Female,329,4,0,3,7,33,133,94,25,30,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Male,342,3,4,5,6,23,122,113,32,34,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Other,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,All,3312,22,0,6,6,26,678,1309,672,581,3,3,1,2,2,3,3,3,3,3,0,0,2,1,1,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0
Italy,Female,1384,0,0,0,0,8,355,475,233,287,3,1,3,1,1,2,3,3,3,3,0,2,0,2,2,1,0,0,0,0,0,10,0,10,10,5,0,0,0,0
Italy,Male,1928,0,0,0,0,8,323,834,439,294,3,1,1,1,1,2,3,3,3,3,0,2,2,2,2,1,0,0,0,0,0,10,10,10,10,5,0,0,0,0
Italy,Other,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,All,58,2,1,0,1,13,29,11,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Female,30,1,0,0,1,6,17,5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Male,28,1,1,0,0,7,12,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Other,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,All,5329,27,6,187,40,406,2023,1584,428,348,12,7,7,5,5,10,12,12,10,10,0,5,5,7,7,2,0,0,2,2,0,50,50,68,68,14,0,0,23,23
USA,Female,2846,10,2,121,26,251,1124,779,190,168,12,7,7,9,6,10,12,12,9,7,0,5,5,3,6,2,0,0,3,5,0,50,50,32,59,14,0,0,32,50
USA,Male,2479,17,4,65,14,146,898,797,223,137,12,8,9,5,6,8,12,12,9,6,0,4,3,7,6,4,0,0,3,6,0,41,32,68,59,32,0,0,32,55
USA,Other,1,0,0,1,0,0,1,0,0,0,11,11,11,11,11,11,11,10,11,11,1,1,1,1,1,1,1,2,1,1,9,9,9,9,9,9,9,18,9,9
