지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
서울 중구,111121,중구,2018010101,0.004,0.5,0.02,0.02,34,19,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010102,0.004,0.4,0.024,0.016,27,14,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010103,0.004,0.4,0.018,0.022,26,14,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010104,0.004,0.5,0.01,0.03,26,15,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010105,0.004,0.6,0.011,0.029,28,16,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010106,0.004,0.5,0.012,0.027,29,17,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010107,0.004,0.5,0.009,0.03,28,16,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010108,0.004,0.5,0.009,0.032,27,14,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010109,0.004,0.6,0.005,0.037,27,14,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010110,0.004,0.4,0.018,0.024,25,12,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010111,0.005,0.5,0.02,0.023,31,16,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010112,0.004,0.5,0.025,0.018,30,17,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010113,0.004,0.4,0.03,0.011,24,13,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010114,0.004,0.5,0.025,0.018,31,17,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010115,0.005,0.5,0.028,0.017,41,23,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010116,0.005,0.5,0.026,0.019,42,21,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010117,0.006,0.5,0.026,0.019,40,21,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010118,0.006,0.5,0.016,0.028,37,19,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010119,0.008,0.6,0.009,0.037,39,22,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010120,0.007,0.7,0.002,0.047,38,21,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010121,0.006,0.7,0.002,0.047,38,21,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010122,0.005,0.7,0.002,0.049,38,20,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010123,0.006,0.9,0.001,0.053,41,23,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010124,0.005,0.9,0.002,0.05,37,22,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010201,0.005,0.9,0.002,0.05,40,24,서울 중구 덕수궁길 15
서울 중구,111121,중구,2018010202,0.005,0.9,0.002,0.048,36,22,서울 중구 덕수궁길 15
