,Unnamed: 0,icd_code,sum,icd_eng,icd_kor,symptom,group_name
0,0,A04,6,Other bacterial intestinal infections,기타 세균성 장감염,설사||구토||두통||복부경련||빈혈||혈소판감소||혈변||복부 통증||요독증,장감염질환
1,1,A08,4,Viral and other specified intestinal infections,바이러스성 및 기타 명시된 장감염,설사||구토||콧물||탈수||열||기침,장감염질환
2,2,A09,32,Other gastroenteritis and colitis of infectious and unspecified origin,감염성 및 상세불명 기원의 기타 위장염 및 결장염,설사||구토||두통||탈수||복부팽만감||열||복부 통증,장감염질환
3,3,A40,3,Streptococcal sepsis,연쇄구균패혈증,빈호흡||설사||물집||의식 저하||심부전||오한||저혈압||괴사||열||기운없음||환부 부종||반상출혈||소변량 감소||복부 통증||빈맥,기타 세균성 질환
4,4,A41,95,Other sepsis,기타 패혈증,빈호흡||설사||물집||의식 저하||심부전||오한||저혈압||괴사||열||기운없음||환부 부종||반상출혈||소변량 감소||복부 통증||빈맥,기타 세균성 질환
5,5,A46,9,Erysipelas,단독(丹毒),림프 부종||오한||발진||열감||환부 통증,기타 세균성 질환
6,6,A49,6,Bacterial infection of unspecified site,상세불명 부위의 세균감염,목의 통증||설사||구토||두통||근육통||콧물||오심||오한||열||기침||권태감,기타 세균성 질환
7,7,A95,2,Yellow fever,황열,무증상||구토||근육통||서맥||황달||복부 통증||열,절지동물매개의 바이러스열 및 바이러스출혈열
8,8,B15,1,Acute hepatitis A,급성 A형간염,설사||구토||오심||진한 소변색||식욕부진||감기 증상||황달||권태감||복부 통증||열,바이러스간염
9,9,B17,4,Other acute viral hepatitis,기타 급성 바이러스간염,오심||구토||근육통||피로감||관절통||식욕부진||감기 증상||황달||피부소양감||피부 긴장도 저하||권태감||복부 통증,바이러스간염
10,10,B18,14,Chronic viral hepatitis,만성 바이러스간염,무증상||오심||구토||관절통||식욕부진||진한 소변색||황달||피부소양감||복부 통증||열,바이러스간염
11,11,B24,25,Unspecified human immunodeficiency virus [HIV] disease,상세불명의 인체면역결핍바이러스병,림프 부종||발진||악성종양발생||구토,인체면역결핍바이러스병
12,12,B34,364,Viral infection of unspecified site,상세불명 부위의 바이러스감염,두통||근육통||피로감||목의 통증||열||호흡곤란||기침||가래,기타 바이러스질환
13,13,B37,11,Candidiasis,칸디다증,하얀 반점||식욕부진||열||구취||환부 통증,진균증
14,14,B39,1,Histoplasmosis,히스토플라스마증,기침||오한||가슴 통증||열||호흡곤란,진균증
15,15,B44,3,Aspergillosis,아스페르길루스증,호흡곤란||오한||천명음||열||객혈,진균증
16,16,B74,1,Filariasis,사상충증,무증상||설사||소화불량||담도감염||황달||간비대||복부 통증,연충증
17,17,B90,6,Sequelae of tuberculosis,결핵의 후유증,오심||눈운동신경마비||복수||변비||압통||발한||설사||복부팽만감||식욕부진||혼수||가래||객혈||고름||근육경련||피로감||체중감소||관절통||뼈의 변형||기운없음||피부궤양||빈맥||빈호흡||두통||졸림||혈변||복부 통증||목 주변 부종||악취가 나는 설사||목의 통증||시야장애||열||기침||권태감,감염성 및 기생충질환의 후유증
18,18,B95,16,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 연쇄구균 및 포도구균,발진||열||환부 통증,"세균, 바이러스 및 기타 감염체"
19,19,B96,60,Other specified bacterial agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균감염체,근육통||오한||열||기침||가슴 통증||가래,"세균, 바이러스 및 기타 감염체"
20,20,B97,605,Viral agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 바이러스감염체,근육통||오한||열||기침||가슴 통증||가래,"세균, 바이러스 및 기타 감염체"
21,21,B99,18,Other infectious diseases,기타 감염성 질환,근육통||오한||열||기침||가슴 통증||가래,기타 감염성 질환
22,22,C18,8,Malignant neoplasm of colon,결장의 악성 신생물,설사||산통||백혈구 증가||열||혈변||복부 통증,악성 신생물
23,23,C22,10,Malignant neoplasm of liver and intrahepatic bile ducts,간 및 간내 담관의 악성 신생물,무증상||오심||구토||복부 압박 증상||복부팽만감||복부 통증,악성 신생물
24,24,C34,20,Malignant neoplasm of bronchus and lung,기관지 및 폐의 악성 신생물,무증상||목소리 변화||체중감소||호흡곤란||기침||가슴 통증||천명음||객혈,악성 신생물
25,25,C44,2,Other malignant neoplasms of skin,기타 피부의 악성 신생물,색소 침착||피부궤양||피부소양감,악성 신생물
26,26,C50,15,Malignant neoplasm of breast,유방의 악성 신생물,유방 통증||환부의 분비물||유방의 멍울||겨드랑이 멍울,악성 신생물
27,27,C54,4,Malignant neoplasm of corpus uteri,자궁체부의 악성 신생물,오심||배뇨장애||변비||구토||두통||배뇨 시 통증||덩어리가 만져짐||감기 증상||뇌압상승증상||경련,악성 신생물
28,28,C61,18,Malignant neoplasm of prostate,전립선의 악성 신생물,옆구리 통증||골반 통증||하지부종||덩어리가 만져짐||긴박뇨||혈뇨||배뇨 시 통증,악성 신생물
29,29,C64,5,"Malignant neoplasm of kidney, except renal pelvis",신우를 제외한 신장의 악성 신생물,,악성 신생물
30,30,C67,5,Malignant neoplasm of bladder,방광의 악성 신생물,옆구리 통증||골반 통증||하지부종||덩어리가 만져짐||긴박뇨||혈뇨||배뇨 시 통증,악성 신생물
31,31,C71,3,Malignant neoplasm of brain,뇌의 악성 신생물,호르몬변화||뇌출혈||시야장애,악성 신생물
32,32,C77,6,Secondary and unspecified malignant neoplasm of lymph nodes,림프절의 이차성 및 상세불명의 악성 신생물,출혈 경향성||말초의 허혈||멍||혈전증||소양감||안면홍조||빈혈||비장비대||말초 통증,악성 신생물
33,33,C78,32,Secondary malignant neoplasm of respiratory and digestive organs,호흡 및 소화기관의 이차성 악성 신생물,무증상||목소리 변화||체중감소||호흡곤란||기침||가슴 통증||천명음||객혈,악성 신생물
34,34,C79,20,Secondary malignant neoplasm of other and unspecified sites,기타 및 상세불명 부위의 이차성 악성 신생물,무증상||목소리 변화||체중감소||호흡곤란||기침||가슴 통증||천명음||객혈,악성 신생물
35,35,C81,1,Hodgkin lymphoma,호지킨림프종,발한||피로감||체중감소||덩어리가 만져짐||경부 림프절병증||열||피부소양감||피부 긴장도 저하,악성 신생물
36,36,C82,1,Follicular lymphoma,소포성 림프종,무증상||경부 림프절병증||위장관 출혈||의식 변화||구토||두통||발한||피로감||체중감소||식욕부진||덩어리가 만져짐||피부 긴장도 저하||빈혈||열||피부소양감||시력 감소||암 부위별로 다름||뇌전증 발작||복부 통증,악성 신생물
37,37,C83,3,Non-follicular lymphoma,비소포성 림프종,무증상||경부 림프절병증||위장관 출혈||의식 변화||구토||두통||발한||피로감||체중감소||식욕부진||덩어리가 만져짐||피부 긴장도 저하||빈혈||열||피부소양감||시력 감소||암 부위별로 다름||뇌전증 발작||복부 통증,악성 신생물
38,38,C85,1,Other and unspecified types of non-Hodgkin lymphoma,기타 및 상세불명 유형의 비호지킨림프종,발한||피로감||체중감소||덩어리가 만져짐||열||피부소양감,악성 신생물
39,39,C90,16,Multiple myeloma and malignant plasma cell neoplasms,다발골수종 및 악성 형질세포신생물,배뇨장애||창백||출혈 경향성||뼈의 통증||피로감||잦은 감염||빈혈||골다공증,악성 신생물
40,40,C91,16,Lymphoid leukaemia,림프성 백혈병,비출혈||출혈 경향성||피로감||멍||체중감소||잦은 감염||뼈의 변형||빈혈||열||비장비대||간비대||혈소판감소,악성 신생물
41,41,C92,4,Myeloid leukaemia,골수성 백혈병,출혈 경향성||발한||체중감소||잦은 감염||식욕부진||피부 긴장도 저하||비장비대||간비대,악성 신생물
42,42,D10,1,Benign neoplasm of mouth and pharynx,입 및 인두의 양성 신생물,소양감||피부색 변화||작열감||물집,양성 신생물
43,43,D46,10,Myelodysplastic syndromes,골수형성이상증후군,출혈 경향성||피로감||잦은 감염||빈혈||열||호흡곤란,행동양식 불명 또는 미상의 신생물
44,44,D47,9,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물",무증상||경부 림프절병증||위장관 출혈||의식 변화||구토||두통||발한||피로감||체중감소||식욕부진||덩어리가 만져짐||피부 긴장도 저하||빈혈||열||피부소양감||시력 감소||암 부위별로 다름||뇌전증 발작||복부 통증,행동양식 불명 또는 미상의 신생물
45,45,D49,3,,,Empty Icd Name,기타
46,46,D50,48,Iron deficiency anaemia,철결핍빈혈,스푼형 손톱||창백||심부전||어지러움||빈혈||구각염||설염||피부 긴장도 저하||호흡곤란||빈맥,영양성 빈혈
47,47,D51,5,Vitamin B12 deficiency anaemia,비타민B12결핍빈혈,창백||식욕부진||진한 소변색||황달||기운없음||비장비대||간비대||복부 통증||열,영양성 빈혈
48,48,D57,32,Sickle-cell disorders,낫적혈구장애,비장비대||빈혈||간비대||황달,용혈성 빈혈
49,49,D58,1,Other hereditary haemolytic anaemias,기타 유전성 용혈성 빈혈,비장비대||빈혈||간비대||황달,용혈성 빈혈
50,50,D61,9,Other aplastic anaemias,기타 무형성빈혈,반복되는 폐렴||구강궤양||점상 출혈||창백||출혈 경향성||생식기 출혈||어지러움||멍||운동 시 호흡곤란||잦은 상기도 감염||빈혈||열||피부 긴장도 저하||호흡곤란,무형성 및 기타 빈혈
51,51,D62,44,Acute posthaemorrhagic anaemia,급성 출혈후 빈혈,반복되는 폐렴||구강궤양||점상 출혈||창백||출혈 경향성||생식기 출혈||어지러움||멍||운동 시 호흡곤란||잦은 상기도 감염||빈혈||열||피부 긴장도 저하||호흡곤란,무형성 및 기타 빈혈
52,52,D63,29,,,반복되는 폐렴||구강궤양||점상 출혈||창백||출혈 경향성||생식기 출혈||어지러움||멍||운동 시 호흡곤란||잦은 상기도 감염||빈혈||열||피부 긴장도 저하||호흡곤란,무형성 및 기타 빈혈
53,53,D64,61,Other anaemias,기타 빈혈,반복되는 폐렴||구강궤양||점상 출혈||창백||출혈 경향성||생식기 출혈||어지러움||멍||운동 시 호흡곤란||잦은 상기도 감염||빈혈||열||피부 긴장도 저하||호흡곤란,무형성 및 기타 빈혈
54,54,D65,3,Disseminated intravascular coagulation [defibrination syndrome],파종성 혈관내응고[탈피브린증후군],점상 출혈||출혈 경향성||의식 저하||빈뇨||청색증||무뇨||호흡곤란||경련||복부 통증||저혈량 쇼크,"응고결함, 자반 및 기타 출혈성 병태"
55,55,D68,23,Other coagulation defects,기타 응고결함,빈혈||출혈 경향성,"응고결함, 자반 및 기타 출혈성 병태"
56,56,D69,49,Purpura and other haemorrhagic conditions,자반 및 기타 출혈성 병태,자반증||멍||몸살||열||피부소양감||혈변||복부 통증,"응고결함, 자반 및 기타 출혈성 병태"
57,57,D70,19,Agranulocytosis,무과립구증,식욕부진||잦은 감염||열||피부궤양||두통,혈액 및 조혈기관의 기타 질환
58,58,D72,71,Other disorders of white blood cells,백혈구의 기타 장애,출혈 경향성||피로감||체중감소||빈혈||열||피부 긴장도 저하,혈액 및 조혈기관의 기타 질환
59,59,D84,6,Other immunodeficiencies,기타 면역결핍,설사||구토||림프절 농양||악성종양발생||림프 부종||경부 림프절병증||발진||항문주위 염증||열||피부염증,면역메커니즘을 침범한 특정 장애
60,60,D86,16,Sarcoidosis,사르코이드증,설사||구토||림프절 농양||악성종양발생||림프 부종||경부 림프절병증||발진||항문주위 염증||열||피부염증,면역메커니즘을 침범한 특정 장애
61,61,D89,16,"Other disorders involving the immune mechanism, NEC",달리 분류되지 않은 면역메커니즘을 침범한 기타 장애,감각 이상||소화불량||체중증가||피로감||체모감소||체중감소||식욕부진||식욕증가||기억장애||우울||열,면역메커니즘을 침범한 특정 장애
62,62,D90,5,,,Empty Icd Name,기타
63,63,E03,106,Other hypothyroidism,기타 갑상선기능저하증,추위를 못견딤||목소리 변화||전신 부종||변비||수유 곤란||근육통||체중증가||피로감||호흡곤란||식욕부진||피부 건조||근긴장의 이상||창백||월경과다||황달,갑상선의 장애
64,64,E05,9,Thyrotoxicosis[hyperthyroidism],갑상선독증[갑상선기능항진증],설사||무월경||안구돌출||피부 건조||신경과민||부정맥||불면증||빈맥,갑상선의 장애
65,65,E10,30,Type 1 diabetes mellitus,1형 당뇨병,다음||다뇨||구토||피로감||체중감소||식욕부진||다식||복부 통증,당뇨병
66,66,E11,656,Type 2 diabetes mellitus,2형 당뇨병,다음||다뇨||갈증||소양감||다식||침침함||저림,당뇨병
67,67,E13,5,Other specified diabetes mellitus,기타 명시된 당뇨병,"무증상||구강호흡||피부색 변화||갈증||식욕부진||침침함||말초 통증||무감각||시림||피로감||체중감소||괴사||시야장애||피부 건조||기운없음||손, 발 감각 저하||피부궤양||저림||감각 이상||다뇨||의식 저하||소양감||복부 통증||구강건조||다음||구토||말초 신경장애||발가락의 변형||다식||피부 긴장도 저하",당뇨병
68,68,E14,4,Unspecified diabetes mellitus,상세불명의 당뇨병,"무증상||구강호흡||피부색 변화||갈증||식욕부진||침침함||말초 통증||무감각||시림||피로감||체중감소||괴사||시야장애||피부 건조||기운없음||손, 발 감각 저하||피부궤양||저림||감각 이상||다뇨||의식 저하||소양감||복부 통증||구강건조||다음||구토||말초 신경장애||발가락의 변형||다식||피부 긴장도 저하",당뇨병
69,69,E16,10,Other disorders of pancreatic internal secretion,췌장내분비의 기타 장애,당뇨||오심||회색변||구토||압통||요통||체중감소||설사||복부팽만감||영양 불량||방사통||황달||지방변||복부 통증||열,포도당조절 및 췌장내분비의 기타 장애
70,70,E27,7,Other disorders of adrenal gland,부신의 기타 장애,오심||구토||의식 저하||피로감||체모감소||저혈당||저혈압||체중감소||식욕부진||열||색소 침착||권태감||복부 통증,기타 내분비선의 장애
71,71,E43,84,Unspecified severe protein-energy malnutrition,상세불명의 중증 단백질-에너지영양실조,작열감||관절 운동성 감소||우울||환부 통증||근육경련||환부 부종||근력 약화,영양실조
72,72,E44,91,Protein-energy malnutrition of moderate and mild degree,중등도 및 경도의 단백질-에너지영양실조,작열감||관절 운동성 감소||우울||환부 통증||근육경련||환부 부종||근력 약화,영양실조
