,icd_code,sum,icd_eng,icd_kor,symptom
0,A04,6,Other bacterial intestinal infections,기타 세균성 장감염,오심||오한||편도선 비대||구토||관절염||딸기혀||발진||관절통||열감||환부 부종||식욕부진||관절 운동성 감소||열||설사||복부 통증
1,A08,4,Viral and other specified intestinal infections,바이러스성 및 기타 명시된 장감염,흉수||오심||압통||근육통||설사||식욕부진||관절통||가래||피로감||혼수||오한||피부소양감||피부염증||탈수||두통||경부 강직||콧물||열감||환부 부종||호흡곤란||가슴 통증||뇌전증 발작||경련||복부 통증||구토||발진||감기 증상||열||성격의변화||피부 긴장도 저하||기침||권태감||황달
2,A09,32,Other gastroenteritis and colitis of infectious and unspecified origin,감염성 및 상세불명 기원의 기타 위장염 및 결장염,압통||근육통||삼키기 곤란||발진||가래||식욕부진||눈물흘림||눈부심||오한||기운없음||피부염증||두통||열감||저혈압||눈의 충혈||호흡곤란||반점||가슴 통증||눈의 통증||목의 통증||안면홍조||열||환부 부종||기침||권태감
3,A40,3,Streptococcal sepsis,연쇄구균패혈증,
4,A41,95,Other sepsis,기타 패혈증,빈호흡||설사||물집||의식 저하||심부전||오한||저혈압||괴사||열||기운없음||환부 부종||반상출혈||소변량 감소||복부 통증||빈맥
5,A46,9,Erysipelas,단독(丹毒),
6,A49,6,Bacterial infection of unspecified site,상세불명 부위의 세균감염,
7,A95,2,Yellow fever,황열,무증상||구토||근육통||서맥||황달||복부 통증||열
8,B15,1,Acute hepatitis A,급성 A형간염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
9,B17,4,Other acute viral hepatitis,기타 급성 바이러스간염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
10,B18,14,Chronic viral hepatitis,만성 바이러스간염,에너지가 적음||무증상||오심||복부 압박 증상||복수||후각 감소||골반 통증||어지러움||치아 벌어짐||환부 통증||복부팽만감||식욕부진||진한 소변색||비관주의||황달||코막힘||가래||객혈||마비||고혈압||가슴 답답||이명||치아 통증||고름||만성 신부전||잇몸염증||피로감||화농성 비루||안면통||관절통||붉은 색소 침착||긴박뇨||환부의 분비물||빈뇨||방사통||치아가 솟은 느낌||피부소양감||재채기||지방변||체중감소||생식기 통증||야간뇨||치아 흔들림||청력장애||배뇨곤란||설사||감각 이상||창백||소화불량||낮은 자존감||콧물||구취||빈혈||발적||복부 불편감||운동 시 호흡곤란||복부 통증||후각장애||권태감||당뇨||우유부단함||구토||혼수||귀에서 냄새가 남||토혈||배변습관의 변화||발진||면역기능 이상||잔뇨감||점액변||후비루||열||피부 긴장도 저하||기침||무맥||방광 팽만||귀의 통증
11,B24,25,Unspecified human immunodeficiency virus [HIV] disease,상세불명의 인체면역결핍바이러스병,
12,B34,364,Viral infection of unspecified site,상세불명 부위의 바이러스감염,
13,B37,11,Candidiasis,칸디다증,
14,B39,1,Histoplasmosis,히스토플라스마증,기침||오한||가슴 통증||열||호흡곤란
15,B44,3,Aspergillosis,아스페르길루스증,호흡곤란||오한||천명음||열||객혈
16,B74,1,Filariasis,사상충증,
17,B90,6,Sequelae of tuberculosis,결핵의 후유증,
18,B95,16,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 연쇄구균 및 포도구균,
19,B96,60,Other specified bacterial agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균감염체,
20,B97,605,Viral agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 바이러스감염체,
21,B99,18,Other infectious diseases,기타 감염성 질환,압통||근육통||삼키기 곤란||발진||가래||식욕부진||눈물흘림||눈부심||오한||기운없음||피부염증||두통||열감||저혈압||눈의 충혈||호흡곤란||반점||가슴 통증||눈의 통증||목의 통증||안면홍조||열||환부 부종||기침||권태감
22,C18,8,Malignant neoplasm of colon,결장의 악성 신생물,무증상||오심||복부비만||전신 부종||복수||유루증||골반 통증||점 안에 다른 색 피부||질의 건조함||요통||설사||흑색변||복부팽만감||식욕부진||진한 소변색||황달||부정맥||성선 기능 저하증||암 부위별로 다름||결절||혈변||불임||소화불량||목소리 변화||가슴 통증||생식기 출혈||피부홍조||체중감소||고혈압||광시증||시야장애||성욕감퇴||색소 침착||근육강직||피부궤양||불안||당뇨||비문증||천식||회색변||피부소양감||근위축||두통||성기능 장애||방사통||덩어리가 만져짐||시력 감소||뇌출혈||눈의 충혈||호흡곤란||복부 불편감||반점||여드름||뇌전증 발작||기침||복부 통증||빈호흡||피로감||비정상적 질출혈||달모양의 둥근 얼굴||구토||잔변감||호르몬변화||토혈||배변습관의 변화||종양부위 부종||빈혈||위장관 출혈||안면홍조||점액변||생리불순||열||장폐색||기억장애||대사성 산증
23,C22,10,Malignant neoplasm of liver and intrahepatic bile ducts,간 및 간내 담관의 악성 신생물,무증상||오심||복부 압박 증상||전신 부종||복수||압통||근육통||포만감||복부팽만감||식욕부진||진한 소변색||황달||감정 변화||목의 통증||마비||고혈압||단백뇨||빈뇨||간부전||물집||피로감||체중감소||혼수||손의 통증||긴박뇨||오한||인지장애||기운없음||야간뇨||저림||설사||감각 이상||회색변||소화불량||두통||어깨의 통증||피부소양감||소양감||열감||덩어리가 만져짐||빈혈||발적||복부 불편감||불면증||간비대||복부 통증||관절통||악취가 나는 설사||콧물||요통||구토||딱지||간성뇌증||자세 불안정||발진||담도감염||혈뇨||감기 증상||열||피부 긴장도 저하||권태감||방광 팽만||소변량 감소||혼돈
24,C34,20,Malignant neoplasm of bronchus and lung,기관지 및 폐의 악성 신생물,반복되는 폐렴||호기의 증가||가슴 통증||수유 곤란||목소리 변화||천명음||천식||체중감소||저산소증||고탄산증||무증상||빈혈||곤봉지||객혈||호흡곤란||가래||운동 시 호흡곤란||사래걸림||기침||흉곽 팽윤
25,C44,2,Other malignant neoplasms of skin,기타 피부의 악성 신생물,낭종||갈색 피부 반점||환부 통증||딱지||색소 침착||결절||피부궤양||점 안에 다른 색 피부
26,C50,15,Malignant neoplasm of breast,유방의 악성 신생물,무증상||유방의 멍울
27,C54,4,Malignant neoplasm of corpus uteri,자궁체부의 악성 신생물,무증상||오심||복부비만||전신 부종||복수||유루증||골반 통증||점 안에 다른 색 피부||질의 건조함||요통||설사||흑색변||복부팽만감||식욕부진||진한 소변색||황달||부정맥||성선 기능 저하증||암 부위별로 다름||결절||혈변||불임||소화불량||목소리 변화||가슴 통증||생식기 출혈||피부홍조||체중감소||고혈압||광시증||시야장애||성욕감퇴||색소 침착||근육강직||피부궤양||불안||당뇨||비문증||천식||회색변||피부소양감||근위축||두통||성기능 장애||방사통||덩어리가 만져짐||시력 감소||뇌출혈||눈의 충혈||호흡곤란||복부 불편감||반점||여드름||뇌전증 발작||기침||복부 통증||빈호흡||피로감||비정상적 질출혈||달모양의 둥근 얼굴||구토||잔변감||호르몬변화||토혈||배변습관의 변화||종양부위 부종||빈혈||위장관 출혈||안면홍조||점액변||생리불순||열||장폐색||기억장애||대사성 산증
28,C61,18,Malignant neoplasm of prostate,전립선의 악성 신생물,무증상||오심||복부비만||전신 부종||복수||유루증||골반 통증||점 안에 다른 색 피부||질의 건조함||요통||설사||흑색변||복부팽만감||식욕부진||진한 소변색||황달||부정맥||성선 기능 저하증||암 부위별로 다름||결절||혈변||불임||소화불량||목소리 변화||가슴 통증||생식기 출혈||피부홍조||체중감소||고혈압||광시증||시야장애||성욕감퇴||색소 침착||근육강직||피부궤양||불안||당뇨||비문증||천식||회색변||피부소양감||근위축||두통||성기능 장애||방사통||덩어리가 만져짐||시력 감소||뇌출혈||눈의 충혈||호흡곤란||복부 불편감||반점||여드름||뇌전증 발작||기침||복부 통증||빈호흡||피로감||비정상적 질출혈||달모양의 둥근 얼굴||구토||잔변감||호르몬변화||토혈||배변습관의 변화||종양부위 부종||빈혈||위장관 출혈||안면홍조||점액변||생리불순||열||장폐색||기억장애||대사성 산증
29,C64,5,"Malignant neoplasm of kidney, except renal pelvis",신우를 제외한 신장의 악성 신생물,복부팽만감
30,C67,5,Malignant neoplasm of bladder,방광의 악성 신생물,배뇨곤란||배뇨 시 통증||빈뇨||소변이 샘
31,C71,3,Malignant neoplasm of brain,뇌의 악성 신생물,박동성 통증||뇌출혈||뇌전증 발작||편두통||두통
32,C77,6,Secondary and unspecified malignant neoplasm of lymph nodes,림프절의 이차성 및 상세불명의 악성 신생물,서동||근육강직||떨림(진전)||연속동작의 느림
