,0,1
0,호흡곤란,11095
1,열,9521
2,기침,8039
3,의식 저하,6600
4,가래,5780
5,청색증,5657
6,천명음,5652
7,근육통,5567
8,피로감,5306
9,오한,4758
10,두통,4681
11,가슴 통증,4245
12,목의 통증,3248
13,복부 통증,2765
14,구토,2741
15,설사,2529
16,빈호흡,1988
17,코막힘,1870
18,가슴 두근거림,1841
19,환부 부종,1802
20,심부전,1782
21,어지러움,1755
22,빈혈,1734
23,콧물,1605
24,피부 긴장도 저하,1573
25,고혈압,1550
26,빈맥,1474
27,식욕부진,1430
28,소변량 감소,1413
29,오심,1312
30,무증상,1295
31,기운없음,1182
32,체중감소,1146
33,괴사,1129
34,권태감,1103
35,물집,1069
36,시야장애,1055
37,의식 변화,1050
38,저혈압,1029
39,근육강직,1012
40,운동 시 호흡곤란,995
41,단백뇨,991
42,반상출혈,968
43,위장관 출혈,943
44,감각 이상,936
45,혈소판감소,931
46,부정맥,929
47,대사성 산증,918
48,편마비,916
49,재채기,879
50,객혈,876
51,우울,866
52,저림,776
53,삼키기 곤란,760
54,경련,750
55,소양감,738
56,다식,731
57,다음,731
58,다뇨,731
59,침침함,701
60,갈증,701
61,기억장애,679
62,환부 통증,674
63,근력 약화,670
64,변비,657
65,근육경련,610
66,전신 부종,584
67,곤봉지,583
68,황달,559
69,다발성 장기부전 증상,559
70,감기 증상,555
71,관절 운동성 감소,554
72,폐동맥 고혈압,536
73,흉수,536
74,작열감,531
75,관절통,520
76,창백,516
77,복시,514
78,수면장애,513
79,배뇨장애,485
80,체중증가,480
81,안면마비,464
82,복수,460
83,다리 통증,457
84,가슴 답답,448
85,불안,443
86,실신,430
87,방사통,429
88,발진,427
89,탈수,425
90,수면 무호흡,419
91,언어장애,413
92,발한,406
93,목소리 변화,399
94,관절염,383
95,서맥,381
96,피부소양감,370
97,저혈량 쇼크,369
98,쇼크,366
99,간비대,365
100,무뇨,365
101,산혈증,362
102,비장비대,361
103,악성종양발생,354
104,저체온,346
105,전신 통증,344
106,식욕증가,323
107,출혈 경향성,315
108,피부궤양,312
109,혼수,312
110,심혈관계 증상,308
111,사시,307
112,사춘기 지연,307
113,불임,307
114,nan,303
115,시력 감소,301
116,진한 소변색,283
117,감정 변화,281
118,판단력장애,278
119,복부팽만감,274
120,보행이상,271
121,면역기능 이상,263
122,만성 신부전,263
123,가슴 쓰림,238
124,멍,218
125,피부 건조,218
126,소화불량,216
127,불면증,215
128,요통,212
129,섬망,197
130,피부색 변화,191
131,복부 불편감,186
132,목의 이물감,183
133,빈뇨,180
134,트림,179
135,포만감,175
136,식후 불쾌감,175
137,긴박뇨,173
138,환각,170
139,점상 출혈,167
140,간부전,163
141,수유 곤란,162
142,실인증,161
143,방향감각 상실,161
144,실행증,161
145,조급증,161
146,자세 불안정,158
147,폐출혈,156
148,근긴장의 이상,154
149,추위를 못견딤,148
150,월경과다,148
151,배뇨 시 통증,147
152,말초의 허혈,146
153,생식기 출혈,143
154,잦은 상기도 감염,143
155,구강궤양,143
156,반복되는 폐렴,143
157,보챔,141
158,혼돈,139
159,초조함,138
160,망상,138
161,자율신경장애,137
162,인지장애,134
163,마비,134
164,열감,126
165,압통,124
166,떨림(진전),121
167,서동,121
168,자세이상,119
169,무관심,117
170,혈뇨,116
171,무감각,113
172,수면 유지가 어려움,112
173,수면 주기의 변화,112
174,수면 마비,112
175,낮 시간대의 졸음,112
176,수면 중 이상한 행동,112
177,몽유병,112
178,입수면기의 환각,112
179,수면 시작이 어려움,112
180,손떨림,111
181,소변이 샘,105
182,악취,105
183,말초 통증,101
184,혈변,94
185,골반 통증,93
186,말초 신경장애,90
187,정서적 둔마,89
188,피해망상,89
189,편도선 비대,89
190,무논리증,89
191,와해된 행동,89
192,무욕증,89
193,고막 충혈,89
194,와해된 언어,89
195,눈의 충혈,86
196,눈물흘림,84
197,손상 부위 통증,84
198,의심,77
199,울혈성 심부전,77
200,반복적인 동작,77
201,시림,75
202,정서 및 행동의 일탈,75
203,낮은 학업 성취,75
204,근위축,75
205,위험한 행동 반복,75
206,관절 구축,75
207,낮은 지능,75
208,종아리 근육의 비대,75
209,안검하수,75
210,척추 측만,75
211,조절할 수 없는 충동감,75
212,야뇨증,74
213,경부 림프절병증,74
214,변실금,70
215,눈의 통증,70
216,반신마비,66
217,잦은 감염,65
218,운동장애,65
219,지남력 장애,64
220,성격의변화,64
221,건망증,64
222,뇌전증 발작,63
223,발적,62
224,발가락의 변형,61
225,발음 이상,61
226,"손, 발 감각 저하",59
227,뇌압상승증상,58
228,피부균열,58
229,애착 상대와 분리 거부,57
230,근육긴장,57
231,얼굴이 화끈거림,57
232,목 주변 부종,56
233,림프 부종,56
234,빛이나 소리 공포증,54
235,폐색전,54
236,눈이 무거운 느낌,54
237,박동성 통증,54
238,편두통,54
239,턱의 통증,54
240,하지부종,53
241,정신 지체,51
242,반점,50
243,배뇨곤란,49
244,자반증,49
245,몸살,49
246,스푼형 손톱,48
247,구각염,48
248,설염,48
249,비관주의,46
250,우유부단함,46
251,경부 운동 제한,46
252,낮은 자존감,46
253,에너지가 적음,46
254,관련 장기의 일시적 기능장애,45
255,구강건조,45
256,자살의 위험,45
257,삶에 대한 흥미 상실,45
258,오후 우울감 완화,45
259,구강호흡,45
260,잔뇨감,44
261,덩어리가 만져짐,44
262,생식기 통증,42
263,눈꺼풀의 떨림,40
264,온몸이 떨림,40
265,폐기능저하,40
266,무의식,39
267,점막변화,38
268,눈부심,38
269,환시,36
270,산만함,36
271,옆구리 통증,34
272,간성뇌증,33
273,후각장애,31
274,복부 압박 증상,31
275,두드러기,30
276,입 주변 부종,30
277,습진,30
278,숨막히는 느낌,30
279,질식,30
280,경직,27
281,복부경련,27
282,급성 신부전,26
283,비정상적 질출혈,25
284,다리변형,25
285,다리의 길이가 틀림,25
286,방광 팽만,25
287,뼈의 변형,25
288,뇌부종,23
289,체모감소,23
290,골다공증,22
291,림프절 농양,22
292,소변을 볼 수 없음,22
293,항문주위 염증,22
294,피부염증,22
295,무릎 부위 통증,21
296,관절잡음,21
297,무릎 부위 부종,21
298,행동장애,21
299,정서장애,21
300,굽은 등,20
301,비출혈,20
302,말초부종,20
303,환부의 분비물,18
304,뼈의 통증,18
305,신부전,16
306,탈장,16
307,얼굴부종,16
308,겨드랑이 멍울,15
309,유방의 멍울,15
310,잔변감,15
311,유방 통증,15
312,비정상적인 진통,14
313,관절의 경직,13
314,암 부위별로 다름,13
315,고름,13
316,중심시력감소,12
317,주변시야손상,12
318,하얀 반점,12
319,암점,12
320,구취,12
321,골절,11
322,척추 후만,11
323,폐부종,11
324,신장 감소,11
325,장폐색,11
326,당뇨,10
327,회색변,10
328,영양 불량,10
329,악취가 나는 설사,10
330,지방변,10
331,안구돌출,9
332,피부경화,9
333,어깨의 통증,9
334,얼굴형태의 이상,9
335,"입술, 입천장의 기형",9
336,경정맥 확장,9
337,주먹을 쥐기 힘듬,9
338,치아발달장애,9
339,레이노이드 현상,9
340,무월경,9
341,신경과민,9
342,색소 침착,9
343,성기능 장애,8
344,눈운동신경마비,8
345,관절 불안정증,8
346,사지 마비,8
347,안구진탕,8
348,안구혼탁,8
349,손마디가 뻣뻣해짐,8
350,백혈구 증가,8
351,뻣뻣함,8
352,시신경염,8
353,배변장애,8
354,산통,8
355,다발성 관절염,8
356,눈꺼풀 처짐증,8
357,이명,7
358,저혈당,7
359,파행,7
360,요독증,6
361,혈전증,6
362,졸림,6
363,반사 이상,6
364,안면홍조,6
365,복벽이 움푹 들어감,5
366,엉덩이 통증,5
367,안구내 출혈,4
368,배변습관의 변화,4
369,인설,4
370,성대 이상,4
371,"볼, 눈주위 움푹 꺼짐",4
372,코 옆과 입꼬리 주름,4
373,피부 각질,4
374,이중턱,4
375,볼이 처짐,4
376,유방의 퇴행,4
377,눈의 피로,4
378,눈가 및 이마 주름,4
379,복부비만,4
380,경부 강직,4
381,심정지,4
382,불규칙적 진통,4
383,복부의 박동감,4
384,색깔이 퇴색해보임,4
385,돌연사,4
386,습관성 유산,4
387,아래 눈꺼풀이 불룩함,4
388,요관 폐쇄,4
389,커지지 않는 자궁,4
390,고정된 믿음,4
391,헛배,4
392,대인관계 어려움,4
393,야간뇨,3
394,귀의 통증,3
395,안면부 열상,3
396,안면부 출혈,3
397,탁한 소변,3
398,청력장애,3
399,치아 흔들림,3
400,부정교합,3
401,개 폐구 장애,3
402,발육부전,3
403,치아의 탈락,3
404,뇌출혈,3
405,이폐색감,3
406,호르몬변화,3
407,저작장애,3
408,털이 동반되기도 함,2
409,갈색 피부 반점,2
410,흡수장애,2
411,축 늘어짐,2
412,점 안에 다른 색 피부,2
413,병적골절,2
414,탈장 부위의 통증,2
415,광시증,2
416,탈장 돌출,2
417,유두부종,2
418,얼굴 한쪽의 반점,2
419,검은 점,2
420,비문증,2
421,연속동작의 느림,2
422,점액변,2
423,"납작한 코, 축 쳐진 귀",1
424,사회성 부족,1
425,담도감염,1
426,학습장애,1
427,안면 변형,1
428,심방 부정맥,1
429,손상부위 촉각 소실,1
430,손상 부위 출혈,1
