"Lab","days_since_positive","mean","se","ci_95L","ci_95U","total_n"
"alanine aminotransferase (ALT)",-2,44.4142658518836,7.5410310244026,29.6341166377553,59.1944150660119,164
"alanine aminotransferase (ALT)",-1,43.1694755519298,3.90151553256404,35.5226456229806,50.8163054808789,330
"alanine aminotransferase (ALT)",0,43.9886548985209,3.40269638352429,37.3194925364886,50.6578172605532,1199
"alanine aminotransferase (ALT)",1,42.7168855772438,1.74855078713088,39.2897890093281,46.1439821451595,3163
"alanine aminotransferase (ALT)",2,46.4341627745141,3.13884531022599,40.2821390134287,52.5861865355995,1748
"alanine aminotransferase (ALT)",3,45.3605701226746,6.49532296005472,32.6299710530112,58.0911691923379,1602
"alanine aminotransferase (ALT)",4,51.2771323449931,2.87629330997782,45.6397010484631,56.9145636415232,1342
"alanine aminotransferase (ALT)",5,52.5190188074189,4.53963269409252,43.621502223957,61.4165353908808,1194
"alanine aminotransferase (ALT)",6,54.76937099188,5.24611483518141,44.4871748561631,65.0515671275968,1142
"alanine aminotransferase (ALT)",7,57.4725801176707,5.93076668641753,45.8484910115823,69.096669223759,972
"alanine aminotransferase (ALT)",8,68.2788240005628,5.90715338414377,56.7010161164871,79.8566318846385,813
"alanine aminotransferase (ALT)",9,69.8959769690641,4.29712892898901,61.4737590313205,78.3181949068077,721
"alanine aminotransferase (ALT)",10,69.148357486471,8.61642008726215,52.2604844397697,86.0362305331723,642
"alanine aminotransferase (ALT)",11,68.2894370459777,6.88722743025445,54.7907193293427,81.7881547626128,527
"alanine aminotransferase (ALT)",12,69.9279220466174,7.75343749668903,54.7314637967245,85.1243802965103,451
"alanine aminotransferase (ALT)",13,73.9288984840192,13.2138074349583,48.0303118128534,99.8274851551851,353
"alanine aminotransferase (ALT)",14,76.283699015515,10.4340326847747,55.8333707398428,96.7340272911872,342
"alanine aminotransferase (ALT)",15,80.5652880985043,9.55606843713019,61.8357381279291,99.2948380690794,289
"alanine aminotransferase (ALT)",16,85.2523453754681,18.6489951494772,48.7009865346306,121.803704216306,224
"alanine aminotransferase (ALT)",17,93.367070892922,12.3749299998787,69.1126537819556,117.621488003888,201
"alanine aminotransferase (ALT)",18,81.1160149376805,12.2171576011671,57.1708260459433,105.061203829418,192
"alanine aminotransferase (ALT)",19,88.2789869302415,10.5998947528496,67.5035749747412,109.054398885742,170
"alanine aminotransferase (ALT)",20,102.116250092554,8.90531446437436,84.6621544713763,119.570345713731,129
"alanine aminotransferase (ALT)",21,71.7122149857346,15.8677038560184,40.6120869105912,102.812343060878,119
"alanine aminotransferase (ALT)",22,65.1071080435213,14.0253060368722,37.6180133390995,92.5962027479431,102
"alanine aminotransferase (ALT)",23,62.1457712368517,12.4484606929059,37.7472366157937,86.5443058579098,83
"alanine aminotransferase (ALT)",24,56.1761326806939,12.1497754555028,32.3630103676597,79.989254993728,71
"alanine aminotransferase (ALT)",25,61.6502893138389,13.4785089623629,35.2328971823072,88.0676814453705,62
"albumin",-1,3.28601293191725,0.0784659845829918,3.13222242812311,3.43980343571139,127
"albumin",0,3.22631728990923,0.110455450805915,3.00982858443351,3.44280599538496,294
"albumin",1,3.33942918546093,0.0992040222271629,3.14499287477418,3.53386549614768,849
"albumin",2,3.032846786371,0.0884645134005075,2.85945952619614,3.20623404654585,750
"albumin",3,3.0248099228717,0.0738479359675881,2.88007062804261,3.1695492177008,655
"albumin",4,2.90263890177471,0.0748706033498514,2.75589521570821,3.0493825878412,556
"albumin",5,2.89628231309091,0.0682700001903834,2.76247557149321,3.0300890546886,477
"albumin",6,2.89749346308436,0.0652188499385472,2.76966686609169,3.02532006007704,445
"albumin",7,2.87873847724261,0.0797726378029057,2.72238698019715,3.03508997428806,379
"albumin",8,2.76283566276641,0.0934612170350459,2.57965504342644,2.94601628210638,309
"albumin",9,2.77360686629153,0.103360359751117,2.57102428375024,2.97618944883283,244
"albumin",10,2.69379660298741,0.120118755627448,2.45836816808984,2.92922503788497,234
