siteid,loinc,days_since_positive,num_patients,mean_value,stdev_val,unmasked_sites_num_patients,masked_sites_num_patients,masked_upper_bound_num_patients
France,1742-6,-6,26,28.3080384615385,20.7983362613085,2,0,0
France,1742-6,-5,28,51,41.4369255366023,2,0,0
France,1742-6,-4,27,29.0739259259259,23.1861400151469,2,0,0
France,1742-6,-3,27,29.851962962963,34.2103931379401,2,0,0
France,1742-6,-2,31,37.8388387096774,50.6877879408816,2,0,0
France,1742-6,-1,54,50.6850185185185,62.8633839430655,2,0,0
France,1742-6,0,139,50.597,62.3887202015823,2,0,0
France,1742-6,1,779,40.5420166880616,46.7248184035443,2,0,0
France,1742-6,2,294,58.0475748299319,149.558861603161,2,0,0
France,1742-6,3,261,53.042091954023,101.006417969351,2,0,0
France,1742-6,4,204,61.1127892156863,97.2482537085335,2,0,0
France,1742-6,5,173,63.1443988439306,85.889775901601,2,0,0
France,1742-6,6,178,74.657393258427,147.877128540377,2,0,0
France,1742-6,7,149,74.1544093959732,132.932600126551,2,0,0
France,1742-6,8,124,79.0481048387097,117.988308135785,2,0,0
France,1742-6,9,99,78.6868686868686,97.4218333346726,2,0,0
France,1742-6,10,82,67.9508780487805,100.067837042023,2,0,0
France,1742-6,11,57,66.8424912280702,88.2382912095187,2,0,0
France,1742-6,12,53,59.2264150943396,57.7802752008497,2,0,0
France,1742-6,13,39,49.8461538461538,44.5316897211759,2,0,0
France,1742-6,14,43,62.116,68.7764754408906,2,0,0
France,1742-6,15,19,69.4214736842105,49.749051513983,2,0,0
France,1742-6,16,19,52.1582105263158,37.5842115959155,2,0,0
France,1742-6,17,11,61.2723636363636,68.2998095857854,2,0,0
France,1742-6,18,13,75.3076153846154,64.8973419698866,2,0,0
France,1742-6,19,9,76.778,33.3777858425331,2,0,0
France,1742-6,20,0,-1,-1,0,1,3
France,1742-6,21,6,63.333,32.922,1,0,0
France,1742-6,22,5,41,20.05,1,0,0
France,1742-6,23,5,55.8,60.3227048527335,2,0,0
France,1742-6,24,0,-1,-1,0,1,3
France,1742-6,25,1,32,0,1,1,3
France,1742-6,26,0,-1,-1,0,1,3
France,1742-6,27,0,-1,-1,0,1,3
France,1742-6,28,0,-1,-1,0,1,3
France,1751-7,-6,4,2.7075,0.569992690011606,1,0,0
France,1751-7,-5,1,1.82,0,1,0,0
France,1751-7,-4,2,2.14,0.0707106781186603,1,1,3
France,1751-7,-3,3,2.50666666666667,0.622923216242046,1,1,3
France,1751-7,-2,2,2.65,0.509116882454314,1,1,3
France,1751-7,-1,5,2.452,0.669305610315646,1,1,3
France,1751-7,0,19,2.72946315789474,0.654424918204718,2,0,0
France,1751-7,1,70,3.14102285714286,0.62908065925348,2,0,0
France,1751-7,2,53,2.67491509433962,0.485199797623551,2,0,0
France,1751-7,3,36,2.90805555555555,0.645264486390523,2,0,0
France,1751-7,4,31,2.56643225806452,0.560360911905351,2,0,0
France,1751-7,5,26,2.4804,0.624909305739641,2,0,0
France,1751-7,6,24,2.42289166666667,0.76070860324961,2,0,0
France,1751-7,7,20,2.426525,0.55328534075057,2,0,0
France,1751-7,8,21,2.42855238095238,0.54081480667512,2,0,0
France,1751-7,9,17,2.34763529411765,0.679392858496809,2,0,0
France,1751-7,10,16,2.59496875,0.62621015292392,2,0,0
France,1751-7,11,9,2.47114444444444,0.45159593972685,2,0,0
France,1751-7,12,12,2.62665,0.518139932836682,2,0,0
France,1751-7,13,9,2.78557777777778,0.335353197307623,2,0,0
France,1751-7,14,2,2.805,0.190918830920369,1,1,3
France,1751-7,15,0,-1,-1,0,1,3
France,1751-7,16,2,1.455,0.360624458405139,1,1,3
France,1751-7,17,1,1.27,0,1,1,3
France,1751-7,18,1,3.36,0,1,0,0
France,1751-7,25,1,3.84,0,1,0,0
France,1920-8,-6,26,42.6920769230769,41.2344168926135,2,0,0
France,1920-8,-5,28,51.2857142857143,34.9802106412745,2,0,0
France,1920-8,-4,27,43.7778518518519,35.1729346725178,2,0,0
France,1920-8,-3,28,35.7143571428572,20.2052686513971,2,0,0
France,1920-8,-2,30,62.0998666666667,73.9496513611112,2,0,0
France,1920-8,-1,54,66.7225370370371,68.4631134538921,2,0,0
France,1920-8,0,138,71.7249420289855,74.8623351407538,2,0,0
France,1920-8,1,768,64.3604583333333,115.269352571878,2,0,0
France,1920-8,2,294,75.8704829931973,117.31109277265,2,0,0
France,1920-8,3,260,85.8151076923077,303.845413184518,2,0,0
France,1920-8,4,203,91.6995270935961,207.453701132284,2,0,0
France,1920-8,5,170,74.2415294117647,96.6313405017636,2,0,0
France,1920-8,6,178,78.5110786516854,99.695229209048,2,0,0
France,1920-8,7,148,69.9057567567568,56.5097704604987,2,0,0
France,1920-8,8,124,69.443314516129,42.5573985331388,2,0,0
France,1920-8,9,99,77.7878787878788,61.8507772507005,2,0,0
France,1920-8,10,82,71.7195609756098,71.4165594076894,2,0,0
France,1920-8,11,57,57.7191929824561,37.7638874561582,2,0,0
France,1920-8,12,53,60.1888679245283,35.3799852828804,2,0,0
France,1920-8,13,40,59.5,38.6191386112757,2,0,0
France,1920-8,14,43,70.046511627907,74.4020757801734,2,0,0
