siteid,icd_code,icd_version,num_patients,unmasked_sites_num_patients,masked_sites_num_patients,masked_upper_bound_num_patients
Combined,Z29.0,10,1352,4,0,0
Combined,J12.8,10,1229,4,0,0
Combined,J96.0,10,1119,4,1,14
Combined,R05,10,937,14,1,14
Combined,I10,10,830,9,2,23
Combined,R50.9,10,812,13,1,14
Combined,U07.1,10,796,8,1,9
Combined,J06.9,10,753,12,3,22
Combined,R68.89,10,640,8,0,0
Combined,J12.81,10,609,2,4,36
Combined,J96.00,10,545,6,8,73
Combined,B97.29,10,528,9,2,16
Combined,J96.9,10,499,3,2,17
Combined,J96.90,10,499,3,7,68
Combined,J96.2,10,488,2,1,5
Combined,J96.20,10,488,2,1,5
Combined,Z20.828,10,425,8,2,23
Combined,J80,10,391,5,3,23
Combined,E11.9,10,375,8,3,32
Combined,J18.9,10,374,13,2,19
Combined,R06.02,10,374,6,5,39
Combined,R06.0,10,337,4,2,19
Combined,J12.89,10,294,8,2,23
Combined,J96.01,10,272,10,2,19
Combined,R53,10,230,3,1,5
Combined,B34.2,10,211,7,5,50
Combined,N17.9,10,211,8,4,41
Combined,J12.9,10,208,4,5,46
Combined,R09.02,10,170,7,5,39
Combined,U07.2,10,164,2,0,0
Combined,B34.9,10,153,7,4,37
Combined,Z71.1,10,149,1,1,9
Combined,E66.0,10,148,1,0,0
Combined,E78.5,10,130,6,5,42
Combined,R96.1,10,126,1,0,0
Combined,Z51.5,10,126,2,3,27
Combined,Z71.89,10,126,2,4,36
Combined,I48.0,10,116,6,5,45
Combined,J22,10,116,7,2,23
Combined,E87.1,10,115,6,6,46
Combined,E66.9,10,104,5,7,60
Combined,R65.0,10,95,1,0,0
Combined,R65.1,10,93,2,1,5
Combined,E03.9,10,90,6,8,65
Combined,R91.8,10,90,3,4,32
Combined,Z50.1,10,90,1,1,5
Combined,Z74.1,10,89,2,0,0
Combined,E87.6,10,88,4,9,74
Combined,Z75.1,10,86,1,1,9
Combined,N18.3,10,85,4,7,64
Combined,E43,10,84,1,4,32
Combined,E44.0,10,81,1,3,27
Combined,I25.9,10,80,3,1,5
Combined,R19.7,10,80,4,5,43
Combined,R41.0,10,79,1,5,37
Combined,J15.9,10,77,3,7,59
Combined,R57.2,10,76,3,1,5
Combined,G47.3,10,75,1,0,0
Combined,I48.2,10,74,3,0,0
Combined,A41.9,10,73,7,6,51
Combined,R29.6,10,73,2,3,27
Combined,Z92.1,10,71,3,0,0
Combined,Z79.899,10,70,4,4,34
Combined,780.6,9,69,1,0,0
Combined,N18.9,10,68,1,8,64
Combined,Z99.1,10,68,1,0,0
Combined,J45.9,10,66,1,1,5
Combined,R39.2,10,66,1,1,9
Combined,J44.9,10,65,4,3,23
Combined,R00.0,10,65,5,6,55
Combined,E86,10,64,4,1,14
Combined,I48.9,10,62,3,0,0
Combined,Z13.83,10,62,1,0,0
Combined,E55.9,10,61,2,6,55
Combined,R50.8,10,61,1,0,0
Combined,E87.5,10,59,3,6,51
Combined,I25.5,10,59,2,6,42
Combined,B97.2,10,56,4,0,0
Combined,R06.00,10,56,3,7,60
Combined,R94.31,10,56,3,4,36
Combined,F03,10,54,2,2,10
Combined,R51,10,54,5,10,83
Combined,J17.1,10,53,1,0,0
Combined,K21.9,10,53,5,6,51
Combined,Z03.9,10,52,1,0,0
Combined,Z74.0,10,51,2,0,0
Combined,E87.2,10,50,6,7,64
Combined,J98.8,10,50,4,6,49
Combined,N17.0,10,50,1,6,46
Combined,N18.5,10,50,2,3,27
Combined,Z03.8,10,49,4,0,0
Combined,Z95.5,10,49,3,3,27
Combined,I10.00,10,48,3,0,0
Combined,Z03.818,10,47,1,6,59
Combined,I70.2,10,45,1,0,0
Combined,R26.3,10,45,2,1,5
Combined,D62,10,44,4,3,23
Combined,R26.8,10,44,1,0,0
Combined,I25.10,10,43,3,7,60
Combined,E11.65,10,42,4,6,43
Combined,R53.83,10,42,3,6,55
Combined,Z51.8,10,42,1,0,0
Combined,401.1,9,41,1,2,19
