siteid,date,new_positive_cases,patients_in_icu,new_deaths,unmasked_sites_new_positive_cases,unmasked_sites_patients_in_icu,unmasked_sites_new_deaths,masked_sites_new_positive_cases,masked_sites_patients_in_icu,masked_sites_new_deaths,masked_upper_bound_new_positive_cases,masked_upper_bound_patients_in_icu,masked_upper_bound_new_deaths
France,2020-01-29,0,0,0,0,0,1,1,1,0,3,3,0
France,2020-01-30,0,0,0,0,0,1,1,1,0,3,3,0
France,2020-01-31,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-01,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-02,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-03,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-04,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-05,0,0,0,0,1,1,1,0,0,3,0,0
France,2020-02-06,0,0,0,0,1,1,1,0,0,3,0,0
France,2020-02-07,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-08,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-09,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-10,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-11,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-12,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-13,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-14,0,0,0,0,1,0,0,0,1,0,0,3
France,2020-02-15,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-16,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-17,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-18,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-19,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-20,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-21,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-22,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-23,0,0,0,0,1,1,0,0,0,0,0,0
France,2020-02-24,0,0,0,0,0,1,0,1,0,0,3,0
France,2020-02-25,0,0,0,0,0,0,1,1,1,3,3,3
France,2020-02-26,0,0,0,0,0,1,1,1,0,3,3,0
France,2020-02-27,5,0,0,2,1,2,0,1,0,0,3,0
France,2020-02-28,13,4,0,2,2,2,0,0,0,0,0,0
France,2020-02-29,14,0,0,2,1,2,0,1,0,0,3,0
France,2020-03-01,4,5,0,2,2,2,0,0,0,0,0,0
France,2020-03-02,4,11,0,2,2,2,0,0,0,0,0,0
France,2020-03-03,8,4,0,2,2,2,0,0,0,0,0,0
France,2020-03-04,22,5,0,2,2,2,0,0,0,0,0,0
France,2020-03-05,18,12,0,2,2,2,0,0,0,0,0,0
France,2020-03-06,43,18,0,2,2,1,0,0,1,0,0,3
France,2020-03-07,45,13,0,2,2,1,0,0,1,0,0,3
France,2020-03-08,42,17,0,2,2,2,0,0,0,0,0,0
France,2020-03-09,106,21,0,2,2,1,0,0,1,0,0,3
France,2020-03-10,130,16,0,2,2,1,0,0,1,0,0,3
France,2020-03-11,152,24,0,2,2,1,0,0,1,0,0,3
France,2020-03-12,230,32,4,2,2,2,0,0,0,0,0,0
France,2020-03-13,288,41,4,2,2,2,0,0,0,0,0,0
France,2020-03-14,242,44,0,2,2,2,0,0,0,0,0,0
France,2020-03-15,265,35,7,2,2,2,0,0,0,0,0,0
France,2020-03-16,385,57,7,2,2,2,0,0,0,0,0,0
France,2020-03-17,491,59,10,2,2,2,0,0,0,0,0,0
France,2020-03-18,514,69,9,2,2,2,0,0,0,0,0,0
France,2020-03-19,702,56,15,2,2,2,0,0,0,0,0,0
France,2020-03-20,732,104,16,2,2,2,0,0,0,0,0,0
France,2020-03-21,636,77,12,2,2,2,0,0,0,0,0,0
France,2020-03-22,528,118,28,2,2,2,0,0,0,0,0,0
France,2020-03-23,770,154,31,2,2,2,0,0,0,0,0,0
France,2020-03-24,1142,183,31,2,2,2,0,0,0,0,0,0
France,2020-03-25,1026,169,49,2,2,2,0,0,0,0,0,0
France,2020-03-26,1118,168,61,2,2,2,0,0,0,0,0,0
France,2020-03-27,1058,191,65,2,2,2,0,0,0,0,0,0
France,2020-03-28,917,142,51,2,2,2,0,0,0,0,0,0
France,2020-03-29,575,149,56,2,2,2,0,0,0,0,0,0
France,2020-03-30,898,177,75,2,2,2,0,0,0,0,0,0
France,2020-03-31,1124,196,80,2,2,2,0,0,0,0,0,0
France,2020-04-01,965,208,77,2,2,2,0,0,0,0,0,0
France,2020-04-02,793,185,69,2,2,2,0,0,0,0,0,0
France,2020-04-03,879,201,82,2,2,2,0,0,0,0,0,0
France,2020-04-04,552,129,57,2,2,2,0,0,0,0,0,0
France,2020-04-05,367,137,62,2,2,2,0,0,0,0,0,0
France,2020-04-06,562,140,50,2,2,2,0,0,0,0,0,0
Germany,2020-02-26,0,0,0,0,1,1,1,0,0,5,0,0
Germany,2020-02-27,1,0,0,2,2,2,0,0,0,0,0,0
Germany,2020-02-28,0,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-02-29,0,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-01,0,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-02,0,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-03,0,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-04,0,0,0,0,1,1,1,0,0,5,0,0
Germany,2020-03-05,3,0,0,1,2,2,1,0,0,5,0,0
Germany,2020-03-06,3,0,0,1,2,2,1,0,0,5,0,0
Germany,2020-03-07,4,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-08,4,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-09,0,0,0,0,1,1,1,0,0,5,0,0
Germany,2020-03-10,7,0,0,2,2,2,0,0,0,0,0,0
Germany,2020-03-11,5,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-12,9,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-13,20,0,0,2,2,2,0,0,0,0,0,0
Germany,2020-03-14,9,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-15,10,3,0,2,2,2,0,0,0,0,0,0
Germany,2020-03-16,15,0,0,2,2,2,0,0,0,0,0,0
Germany,2020-03-17,7,0,0,1,1,1,0,0,0,0,0,0
Germany,2020-03-18,17,6,0,3,3,3,0,0,0,0,0,0
Germany,2020-03-19,11,12,0,3,3,3,0,0,0,0,0,0
Germany,2020-03-20,22,11,0,3,2,3,0,1,0,0,5,0
Germany,2020-03-21,13,10,0,3,2,3,0,1,0,0,5,0
Germany,2020-03-22,9,13,1,3,2,3,0,1,0,0,5,0
Germany,2020-03-23,22,14,0,3,2,3,0,1,0,0,5,0
Germany,2020-03-24,11,22,0,3,3,3,0,0,0,0,0,0
Germany,2020-03-25,55,26,0,3,3,3,0,0,0,0,0,0
Germany,2020-03-26,36,29,0,3,3,3,0,0,0,0,0,0
Germany,2020-03-27,22,33,1,3,3,3,0,0,0,0,0,0
Germany,2020-03-28,51,35,1,3,3,2,0,0,1,0,0,5
Germany,2020-03-29,29,38,1,3,3,3,0,0,0,0,0,0
Germany,2020-03-30,26,42,4,3,3,2,0,0,1,0,0,5
Germany,2020-03-31,27,45,2,3,3,2,0,0,1,0,0,5
Germany,2020-04-01,26,43,1,3,3,3,0,0,0,0,0,0
Germany,2020-04-02,76,45,1,3,3,3,0,0,0,0,0,0
Germany,2020-04-03,53,45,3,3,3,3,0,0,0,0,0,0
Germany,2020-04-04,19,47,1,3,3,3,0,0,0,0,0,0
Germany,2020-04-05,16,48,0,3,3,3,0,0,0,0,0,0
Germany,2020-04-06,16,50,1,3,3,2,0,0,1,0,0,5
Germany,2020-04-07,10,46,0,3,3,3,0,0,0,0,0,0
Germany,2020-04-08,10,12,0,1,1,1,0,0,0,0,0,0
Germany,2020-04-09,0,11,0,1,1,1,0,0,0,0,0,0
Italy,2020-01-01,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2020-01-03,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2020-01-04,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2020-01-06,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2020-01-07,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2020-01-08,0,0,0,1,0,0,0,0,0,0,0,0
