"code_title","eng_text","kor_text"
"A02","Other salmonella infections","기타 살모넬라감염"
"A02.0","Salmonella enteritis","살모넬라장염"
"A02.1","Salmonella sepsis","살모넬라패혈증"
"A02.2","Localized salmonella infections","국소적 살모넬라감염"
"A02.8","Other specified salmonella infections","기타 명시된 살모넬라감염"
"A02.9","Salmonella infection, unspecified","상세불명의 살모넬라감염"
"A03","Shigellosis","시겔라증"
"A03.0","Shigellosis due to Shigella dysenteriae","이질이질균에 의한 시겔라증"
"A03.1","Shigellosis due to Shigella flexneri","플렉스네리이질균에 의한 시겔라증"
"A03.2","Shigellosis due to Shigella boydii","보이디이질균에 의한 시겔라증"
"A03.3","Shigellosis due to Shigella sonnei","소네이이질균에 의한 시겔라증"
"A03.8","Other shigellosis","기타 시겔라증"
"A03.9","Shigellosis, unspecified","상세불명의 시겔라증"
"A04","Other bacterial intestinal infections","기타 세균성 장감염"
"A04.0","Enteropathogenic Escherichia coli infection","장병원성 대장균감염"
"A04.1","Enterotoxigenic Escherichia coli infection","장독소생산 대장균감염"
"A04.2","Enteroinvasive Escherichia coli infection","장침투성 대장균감염"
"A04.3","Enterohaemorrhagic Escherichia coli infection","장출혈성 대장균감염"
"A04.4","Other intestinal Escherichia coli infection","기타 장대장균감염"
"A04.5","Campylobacter enteritis","캄필로박터장염"
"A04.6","Enteritis due to Yersinia enterocolitica","예르시니아 엔테로콜리티카에 의한 장염"
"A04.7","Enterocolitis due to Clostridium difficile","클로스트리듐 디피실리에 의한 장결장염"
"A04.8","Other specified bacterial intestinal infections","기타 명시된 세균성 장감염"
"A04.9","Bacterial intestinal infection, unspecified","상세불명의 세균성 장감염"
"A08","Viral and other specified intestinal infections","바이러스성 및 기타 명시된 장감염"
"A08.0","Rotaviral enteritis","로타바이러스장염"
"A08.1","Acute gastroenteropathy due to Norwalk agent","노워크병원체에 의한 급성 위장병증"
"A08.2","Adenoviral enteritis","아데노바이러스장염"
"A08.3","Other viral enteritis","기타 바이러스장염"
"A08.30","Sapoviral gastroenteritis","사포바이러스 위장염"
"A08.31","Astroviral gastroenteritis","아스트로바이러스 위장염"
"A08.38","Other viral enteritis","기타 바이러스장염"
"A08.4","Viral intestinal infection, unspecified","상세불명의 바이러스성 장감염"
"A08.5","Other specified intestinal infections","기타 명시된 장감염"
"A00-A09","Intestinal infectious diseases","장감염질환"
"A09","Other gastroenteritis and colitis of infectious and unspecified origin","감염성 및 상세불명 기원의 기타 위장염 및 결장염"
"A09.0","Other and unspecified gastroenteritis and colitis of infectious origin","감염성 기원의 기타 및 상세불명의 위장염 및 결장염"
"A09.9","Gastroenteritis and colitis of unspecified origin","상세불명 기원의 위장염 및 결장염"
"A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically","세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵"
"A16.0","Tuberculosis of lung, bacteriologically and histologically negative","세균학적 및 조직학적으로 음성인 폐결핵"
"A16.00","Tuberculosis of lung with cavitation, bacteriologically and histologically negative","세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵"
"A16.01","Tuberculosis of lung without cavitation or unspecified, bacteriologically and histologically negative","세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵"
"A16.1","Tuberculosis of lung, bacteriological and histological examination not done","세균학적 및 조직학적 검사를 하지 않은 폐결핵"
"A16.10","Tuberculosis of lung with cavitation, bacteriological and histological examination not done","세균학적 및 조직학적 검사를 하지 않은 공동이 있는 폐결핵"
"A16.11","Tuberculosis of lung without cavitation or unspecified, bacteriological and histological examination not done","세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵"
"A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵"
"A16.20","Tuberculosis of lung with cavitation, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵"
"A16.21","Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵"
